"sku","cost","Edmonton"
ny4m2wl4ln,2631,3
3wka2y7vz3,158,50
3zgkov4x8n,6069,23
nbyxgb5gae,15783,1
3p258bp79e,113,8
3wv6lyw2mn,61831,8
3pq9wm4y9e,2832,5
3pl9xbrbkn,3636,7
3pazmk4gk3,7868,8
3zrxmxvm6e,13425,12
er6rjkly7e,30873,4
4e59xx7w9n,7637,3
er7dyzav8n,17492,6
3or7dwb6y3,63099,1
er2xb86p83,43830,19
2ny5mxa8d3,33181,10
z37b4xxave,37872,50
3pqmb4arze,2318,50
ng8ow4rqa3,36517,2
erdlwwl45n,34357,9
23lplyxaze,27982,10
nmo4pw9yxe,143,16
nyy52bwxgn,313,5
nm9v7pxk9e,25311,3
nq84y96jon,627,50
3jlrwb8ypn,244,27
3ww4qmlmq3,3048,10
ny7lqmmldn,7779,7
39lwp4yad3,8773,8
3a7bd894d3,4824,2
365p4d4jkn,11470,1
er76oya77n,1037,3
ekgvap9953,19236,2
e5m6xqx8b3,60469,2
nbvqj4y9xe,4243,42
3wxqw658be,9794,3
3l2kwy46dn,9913,3
x3a4qd6273,7637,2
ngvqr6zbzn,18285,4
nvryvyoqje,26426,11
nql8gw9km3,6277,50
3zap58ry6n,12980,25
e2dkx6qb73,44605,15
38wyqov7d3,7779,8
ny75b465ln,1995,28
nbv6rpqlxe,5940,1
ery82loqjn,4776,4
3wqx62qjz3,7130,28
3xzq5opopn,8778,2
3olj6aj8g3,104,50
e2mlwrrwa3,59096,4
3xxqob2xp3,256,25
38m7xxmjpn,12630,20
ny7kb2789n,74173,1
3lo6yxx2z3,45445,3
3jvw86b8w3,200554,8
er77jjl48n,933,3
ekzk4obz4e,2416,3
nbyym7ojye,17259,2
e2dmkkwad3,1073,6
38xa4gvvoe,4080,1
3aykw2abm3,10160,1
nqdzzpzj6e,9642,8
ek9pgqqdgn,10506,7
nyybd5dkln,2299,2
36v9rgkk8e,551,15
36ykrql59e,11256,1
37xmrzrbjn,3781,1
nq6wvldgw3,8708,9
j3jrm4l4xn,41215,50
x3ak4ymp8e,2466,7
3ozrrplbgn,8099,10
3ard4wrbmn,9342,7
nmo8pmkvve,24582,14
e24zd5my73,10183,3
nb68oyrrx3,3532,1
3zr4rorjje,901,13
ek94lx754n,1351,6
erqjg4j773,3012,30
m39rz677y3,6319,2
nm9bjlqjve,6277,17
372maakgxe,7450,25
37rl966bvn,31903,10
372954jpve,3257,1
39zmyvy7yn,6390,11
369pvgbv93,172,37
3padwl95z3,7474,20
nmrgyxb4je,190,29
nbvrxkvkye,13603,1
3jx9vz6o9n,52309,8
3okqvrbjgn,1857,2
388m7zpzd3,27837,35
3xlj8k24d3,2859,1
er7z6oqq5n,37610,2
edkpyxor2n,1024,1
3lmqqx8rde,10405,50
edkm5brj4n,11953,7
3axw286bvn,125,5
nyqrqxyl93,4211,13
ekqok6p72e,14141,5
3lm9lk45be,6615,1
369rqwgj83,29935,3
39wx9jwo7n,9779,6
nm8mbg6pv3,2543,1
nqpj2o7wwe,1412,15
3zzak5qwj3,22167,3
e5mlvm62b3,1568,30
nq2w8lqy6n,7779,50
e5lyvoglgn,73089,22
nmrb65jove,7868,12
nyrgkkbbde,3922,7
3664a5wd93,222,2
3w79b9jybn,4615,10
34jbb2zvk3,8491,1
e52ayg6rge,2710,15
3647jrqx9e,4938,1
m3965zmo73,1114,38
3zp6l4757n,13456,2
nvk4qg5dx3,748,19
nq2omxrxon,2731,5
3zr9blrpwe,6192,16
38jyxa9jdn,579,25
nqazbpazke,7994,3
nqpkkd64ze,9222,5
3axx8pqvbn,9419,11
4e55j55bbe,8222,40
edpm2rz72e,1443,9
3aq8bj288e,6315,7
e5v8yzg6r3,28541,24
qe2qj5paje,3881,3
nvv7xx4rxn,55123,5
ek8dool22e,5287,2
e5po7y6dr3,1786,11
nyqzoyl4z3,48401,5
g38rmb2b5e,5540,1
ekokmdbwgn,14378,3
3wx49varze,30901,12
ek4v2ovv23,9629,1
