shipment_id,sku,part_description,manufacturer,part_number,price,quantity
shp_ef2f34366409439a8b323d056f988fec,x368rgmljn,Rear Disc Brake Rotor,RAYBESTOS,980525,FALSE,1
shp_ef367cb983644874a70e94ec3db2e5a7,39wopqoxdn,Tail Lamp Assembly,Various Manufacturers,TO2800158,FALSE,1
shp_ef367cb983644874a70e94ec3db2e5a7,nb76ro9v9e,Tail Lamp Assembly,Various Manufacturers,TO2801158,FALSE,1
shp_ef3a637b74e7492680c3fe2049e16994,e2mod6xxj3,Flywheel,LUK,LFW118,FALSE,1
shp_ef3c2b37723542959c975c2cd55b93c8,3pqz87ayke,Front Wheel Bearing,SKF,FW21,FALSE,2
shp_ef3eb0ce043b4683b0b6157b4dcc7bed,e52gw7dvre,Front Disc Brake Rotor,RAYBESTOS,980574R,FALSE,1
shp_ef41470ef9d4417ca8f5428b66d01f47,3p79lpdzz3,Trailer Connection Kit,HOPKINS MANUFACTURING,43105,FALSE,1
shp_ef41470ef9d4417ca8f5428b66d01f47,nb8xvzy82n,Front Hub And Rotor Assembly,RAYBESTOS,66597R,FALSE,1
shp_ef41470ef9d4417ca8f5428b66d01f47,nq2m75mmzn,Front Left Rebuilt Caliper With Hardware,CARDONE INDUSTRIES,18B4759,FALSE,1
shp_ef41470ef9d4417ca8f5428b66d01f47,nvkrkg52j3,Front Hybrid Pads,RAYBESTOS,EHT833H,FALSE,1
shp_ef41470ef9d4417ca8f5428b66d01f47,nydwv5pjyn,Front Right Rebuilt Caliper With Hardware,CARDONE INDUSTRIES,18B4758,FALSE,1
shp_ef41ecf213d94a71922408e9f907368f,39g47rgdge,Remanufactured Steering Gear,CARDONE INDUSTRIES,27-6509,FALSE,1
shp_ef4233979f1d4070b0d437ca4612b791,3p798oqk93,New Alternator,WILSON,90-02-5075N,FALSE,1
shp_ef44ede6072d47eb8c62570e1b6bbe64,ergqwrq59n,Headlamp Relay,BLUE STREAK (HYGRADE MOTOR),RY734,FALSE,1
shp_ef47e4ef82d24462bca80a0fbcc859cd,ngol96qjre,Direct Fit Muffler,WALKER USA,18944,FALSE,1
