"sku","cost_price","Edmonton"
3xypm5djke,19664,1
qnv6ppv62e,1030,0
3xxz7lrq43,6268,1
pedjopmw2e,3496,0
nmzl49g7k3,38618,0
edkw2pgo2n,5154,0
nqaoozylke,335,0
3wy4x997yn,1381,1
e574aykdo3,716,0
3xzwj7974n,8743,1
3jvyo4wx63,4843,0
e2jklm2263,33277,2
nb4k685r2e,5818,0
63x6xvrm43,10323,1
nbodwqyrx3,14368,0
345oqkrqke,572,1
3o2okvjozn,318,1
375zvmbx9e,1637,0
39xwjg99d3,2483,1
83z2k2z443,3322,0
nqqgaxd6on,4596,0
e2gj4okva3,2355,2
38m5la2j4n,7987,2
ergkm5q8jn,2446,0
379g7l5rjn,960,3
36498kk78e,187,1
39goklob7e,1706,0
nv99pr62be,11220,1
edogaj7423,654,1
nqzmakdy6n,1907,2
3a8dmvagve,13854,0
x3akzq4w8e,6475,12
368xwowz9n,4708,0
e2455jrra3,7923,1
x36m48ljeg,3162,2
374rb2gbx3,9392,0
382p7w2m53,66235,1
e5zbzmylge,2096,33
ekqrq4kb5e,1076,0
e2bp8a7jae,755,224
3wxoaywame,748,0
ed74789o4e,3202,0
x36rkpw5o3,1866,1
3pyjylxgg3,2138,0
nyxaa5rd9e,9763,0
3pkdd6qr9e,10875,0
3l2vkldvdn,1348,0
ed87mwb5zn,4830,1
3paax6by93,2568,0
38zwpalrd3,6570,0
3wl6rwblqe,7329,0
3a57bvg6me,49086,1
xerldk7lle,20589,2
edo9jq8vz3,1301,0
3a56kdz98e,19755,1
3woglybyqe,2991,0
nb8m6wq9an,1619,0
3l6j6m7jb3,2956,2
3xxmw98ax3,2142,2
ngbokyydp3,616,1
3wx4vdjrye,5273,2
e55gqbwvbe,2743,10
37254vp8we,8932,0
ngvojdzvpn,4638,2
nvv4j8a9xn,1112,0
3ar25q2rvn,1646,0
3ay74q6xd3,9205,1
3lmg4p4aze,19891,1
edogrdr4w3,6576,0
3jrg67plpn,3196,2
3wl9mdqzye,1778,1
e59d56kxbn,3873,0
3ww4l2zwz3,3556,1
nyx5pq6jle,13577,0
nb4gj264ye,3300,0
3zkzazjo83,511,2
63x6g566p3,1751,2
erdzxlgbln,17036,0
nvp2bpq9xn,872,1
ny4ylrx5yn,1121,4
nmmaj946xn,1252,26
ngoa84zjbe,1984,1
362rwa9kon,6904,0
3a97wv2jbn,7181,0
nqyyk5vpme,9473,1
3p9g7xgb8n,5321,0
3ayw9zlxd3,9741,0
ek2p8lglge,7606,0
38kaob9yj3,4748,1
ngb7gxbop3,4389,0
ekgjk2jo23,1764,0
nmk99kj7j3,20279,1
3lrd6774o3,10723,1
er7mbwv58n,431,2
34qo64qyme,4978,0
nyyj4o9pln,3208,1
3wwggaomm3,5622,4
edd5kka62e,2733,3
83w5ab6ob3,6383,0
3xlbbb8xl3,529,50
3xoqm6r843,7843,1
38wv99mad3,723,0
37ax6o7bj3,5337,1
edkdyyxo2n,4280,12
nmqwzwxjk3,578,5
367g2wxmke,1496,0
e2dlj47oj3,1575,0
ngaad684vn,1539,6
4e5d4jd4r3,2628,0
e5zxvzbdbe,12122,1
374wq8l5p3,2120,0
36v44oa9je,10993,1
er76jmpz7n,1076,2
er7pwo8q9n,10562,0
nvro7l5rbe,890,2
3olxvl6z93,3229,0
nya2wzky9n,3785,1
3zwq6bra83,1410,3
3zl9yb2g6e,2544,2
3xagwwrjxe,158,0
3lbvy8v2dn,3810,2
er79qgyvln,4406,110
3zdpjgklwn,16289,2
ek2dyz6j4e,376,4
3jlvzmav9n,2376,1
3zl8od7q8e,7186,0
eryqgmwp7n,4499,0
3jm625pow3,2646,10
3jq4k8q2oe,7059,0
e578o74zo3,6251,0
38mo5qmb5n,9838,1
edxkj4k2w3,6153,1
e55vglx64e,2858,2
3pmdjk5z93,8470,1
3jxavjda9n,40775,2
37597gvpje,2047,1
e22lxp7dde,7799,0
nydxmqjoln,2068,1
3xldgxvdx3,1157,2
3alxowry8n,13017,0
3paomz5r83,1701,4
e22am6jrde,2717,1
nqlzvvojz3,4251,1
nmkzj5x6k3,1501,2
3ax7owvamn,1871,0
m39dmw9vye,2263,2
ngoxmgwope,337,8
34g6pabdy3,2580,2
39g89wakpe,1199,160
nm9wzrjk9e,26537,1
3949kwxqpe,2338,1
3l8zv2r9yn,8087,11
e2awrmmkj3,3851,1
3pyl2qvdk3,1558,2
37o92oo4vn,841,0
e2jvzxqwa3,1338,1
394ybrvlge,11080,6
edy86gx4we,3826,17
ek7m6z4843,14138,2
3xqrqpl9xn,4864,2
36ppxy8j8e,1270,1
39jjlap8de,5435,1
3alvgkyg8n,3699,1
37avdzaq93,2605,2
e5v5yojv93,12503,1
nm2agklbk3,1456,0
37xzkq5rpn,3973,3
4e588y6k9e,1738,0
nbyworm6me,3978,2
erd2gd5j5n,4523,2
3lrkxlkby3,855,0
394g5x8p7e,8938,0
3oy4ao8o9e,2216,2
z37yoqyvv3,7437,0
ngqwpwz6v3,10625,0
ed76r49mwe,2635,5
3xz929lxpn,5720,1
9ekx9bwvrn,470,3
3zadzlldjn,435,3
e24d4qzqa3,7182,0
39la2a28g3,14040,0
e57zrlkg43,525,1
3zroblvp6e,1122,2
e52y4ymv4e,13499,32
ny4a9r28zn,2280,1
nb8yy548mn,3701,1
ng8wgvx8p3,1232,2
3xlmojo8k3,1223,7
3al4lxv68n,1885,0
3lov6g8ay3,1288,0
3pa8x2q493,1601,13
3o2vlam5kn,2254,0
3o4qxbddye,764,2
nm42wmj99n,1264,2
ngbg2ajdb3,1292,0
er4d4zg88n,11108,1
z37wz8gjpe,8184,2
3oboj4g9gn,2322,0
36pdx2bkoe,1182,1
eryvkqvdjn,8533,2
nqzdywl9kn,3781,0
37ryo4qkvn,1117,3
38dz5bprpn,1296,10
e52j4q5g9e,729,9
37aw2zx7w3,1837,0
384blprqon,19881,1
38wmgz4q53,9460,1
3j69d67g9n,1365,1
37x8pdbo9n,6403,0
34p9jpqa43,9666,1
nqy57r5zwe,1216,0
34xr9595yn,937,0
ng9775bbpe,4012,0
3aybr5m9b3,1142,0
nm4majmmvn,7899,1
ngox77wxae,5376,9
ny7rz89oyn,16195,3
ped4zrllge,20290,0
37roklr6xn,8055,0
ekozdb7gdn,1626,2
37vvrllpw3,2377,58
3aljkd8xdn,1535,304
e57zray7b3,1982,5
3jqroxkvwe,2020,3
37vx7oq2j3,4470,0
38k7mmbo43,912,0
e25yoxvzke,2691,0
4ngaj69zpn,1199,0
3p7myld483,5535,1
367kzbljoe,1190,1
wnbmj5xg2e,2145,1
34qxw5obme,937,0
3xaa8d2yle,2061,4
e5lk294gbn,179,4
3xy58xbaxe,760,0
ny4myp4mzn,2879,1
ngqrzpozb3,2635,1
nvrz8k8pje,5705,2
3aqdqmldve,3616,0
3aq4k5xome,2927,1
g38mb5rzdn,5995,1
x36dgwglje,4402,2
37982257jn,3947,1
3xa5qy8mde,2931,1
3ax2gxdqmn,6592,4
36vgzywyoe,1215,0
382xd9avo3,218,1
3o824jd7gn,2944,1
3or58gbj93,13808,1
nb6vzoxw23,4589,0
er22l66z93,1499,0
nb4ov62r2e,1009,0
ergqo55gjn,9226,1
3j6l8zrgwn,3577,2
nmzo85x9k3,3342,4
nm2jqjjld3,5570,1
ekokagwy4n,910,1
nyax89rg9n,16428,1
38d6bro4pn,23882,0
z37g2morw3,2745,4
38z4axqmj3,6081,2
39ld57oj73,10943,0
39rbzga7d3,5603,0
edgwqoojze,856,35
3al874jq7n,10178,44
3a7pjbj7b3,3402,3
edzr5rvl4n,10728,1
nbmmk84jye,16225,1
3j8k4bzxpe,1838,1
nmryq9moje,2273,2
23ljp4qy7e,5240,1
er655ll29e,7153,0
ekojk6gj5n,1677,0
nqvaogorme,2055,1
e59zqwdpon,8650,1
edzy5d7mdn,964,0
m39gpjda7e,5295,14
3j8llbxmpe,1674,5
er56p72zl3,10586,1
3xzpx7yqdn,6454,1
3obblxdozn,4127,4
nmrwvqzaje,33388,0
38xv7jbjoe,16784,18
nyayjxzl9n,970,2
3lbppxjxzn,5432,0
ekg28zqar3,6443,1
nm8gbrw293,6531,0
345a6abp4e,765,0
edkkyjo9wn,5858,0
3l2zko8jyn,4858,0
eko9v7pw2n,4760,49
nyamljyazn,5821,0
nbo7q2p6a3,6907,15
3zr5xwzj4e,3330,4
3lpk7lxbbe,1369,3
3zzgm2kmj3,2069,2
nb45476q9e,1744,2
e5584m4y9e,638,0
nvrbrdr6pe,4989,1
364l5ka7oe,16788,1
4e5bbbp6oe,9508,1
3j6kadpb9n,365,0
34jp5y5ky3,9420,0
nmmr4bzd9n,7511,0
xery9z2kjn,3879,0
73o5dbvqyn,3110,3
nvp8594qpn,20400,3
342gy7ajke,486,5
3wwvqb66m3,13068,3
3pa4wlbw93,1569,3
ery5axqd7n,9256,3
ny7g766w9n,4605,6
ek8qzqm72e,507,1
3l689mb2d3,2898,0
3827opraj3,16231,1
ng9vjayxre,2958,0
3jq28l8gwe,12793,0
e5m26w4x43,266,3
34kbmag5pe,5873,2
ngo7kd4jpe,6092,0
ery9m24j5n,6370,0
3zwagz8g63,287,2
38x4x7kj5e,2446,0
3xydmgl6ke,4207,0
83wraokkxe,1042,22
nyqd2vjjd3,4765,1
3zgxq6854n,2660,0
nqlr2jomo3,540,0
3lbjkjm6zn,2854,4
39jqydjx7e,14473,1
3xz8kyq4xn,1814,0
34g9qqd943,3497,0
er5q6o4rl3,2200,0
3jqyzjgmxe,4410,0
e57l28xqo3,1022,0
e2vawg9yd3,1723,0
39zjy9logn,3639,2
3pxombrwgn,17025,1
23l6alk273,11512,1
nbkygarxmn,5537,17
3az7qqj2de,957,1
3plo4j89gn,15170,0
3l2q8pwlyn,2780,0
36y25l669e,367,250
3ob78mxm9n,106429,1
3jqvzojo6e,1973,0
3pqdv49w8e,12447,0
ngowwpdyre,2296,3
er2xarl973,32112,1
3axal5bwbn,3997,2
nmqao56j93,636,2
e572pz9ab3,5291,0
3l8q5y8jbn,5691,1
394p6zjqge,1782,2
nqq2vj2kzn,2469,0
e572xqwkg3,2061,90
x36kozv4jn,1982,3
3l2drwvoon,1919,0
nvr2g5zobe,4902,1
4ngva995zn,11634,0
3pl5yvmj8n,1966,1
396dak7873,6153,1
nvz89x85p3,1493,0
37x8rzrjvn,1907,7
