"sku","cost_price","Montreal"
edogrdr4w3,6576,1
3jrg67plpn,3196,4
3wl9mdqzye,1778,1
e59d56kxbn,3873,2
3ww4l2zwz3,3556,1
nyx5pq6jle,13577,0
nb4gj264ye,3300,2
3zkzazjo83,511,13
63x6g566p3,1751,1
erdzxlgbln,17036,1
nvp2bpq9xn,872,0
ny4ylrx5yn,1121,2
nmmaj946xn,1252,24
ngoa84zjbe,1984,1
362rwa9kon,6904,0
3a97wv2jbn,7181,0
nqyyk5vpme,9473,1
3p9g7xgb8n,5321,0
3ayw9zlxd3,9741,0
ek2p8lglge,7606,0
38kaob9yj3,4748,0
ngb7gxbop3,4389,0
ekgjk2jo23,1764,1
nmk99kj7j3,20279,1
3lrd6774o3,10723,0
er7mbwv58n,431,2
34qo64qyme,4978,3
nyyj4o9pln,3208,6
3wwggaomm3,5622,0
edd5kka62e,2733,0
83w5ab6ob3,6383,0
3xlbbb8xl3,529,170
3xoqm6r843,7843,0
38wv99mad3,723,1
37ax6o7bj3,5337,0
edkdyyxo2n,4280,11
nmqwzwxjk3,578,2
367g2wxmke,1496,1
e2dlj47oj3,1575,1
ngaad684vn,1539,0
4e5d4jd4r3,2628,0
e5zxvzbdbe,12122,0
374wq8l5p3,2120,6
36v44oa9je,10993,1
er76jmpz7n,1076,5
er7pwo8q9n,10562,1
nvro7l5rbe,890,2
3olxvl6z93,3229,1
nya2wzky9n,3785,2
3zwq6bra83,1410,0
3zl9yb2g6e,2544,1
3xagwwrjxe,158,5
3lbvy8v2dn,3810,1
er79qgyvln,4406,20
3zdpjgklwn,16289,0
ek2dyz6j4e,376,7
3jlvzmav9n,2376,0
3zl8od7q8e,7186,35
eryqgmwp7n,4499,1
3jm625pow3,2646,0
3jq4k8q2oe,7059,1
e578o74zo3,6251,0
38mo5qmb5n,9838,0
edxkj4k2w3,6153,6
e55vglx64e,2858,1
3pmdjk5z93,8470,2
3jxavjda9n,40775,1
37597gvpje,2047,1
e22lxp7dde,7799,0
nydxmqjoln,2068,1
3xldgxvdx3,1157,0
3alxowry8n,13017,0
3paomz5r83,1701,2
e22am6jrde,2717,0
nqlzvvojz3,4251,0
nmkzj5x6k3,1501,0
3ax7owvamn,1871,2
m39dmw9vye,2263,2
ngoxmgwope,337,0
34g6pabdy3,2580,1
39g89wakpe,1199,130
nm9wzrjk9e,26537,0
3949kwxqpe,2338,0
3l8zv2r9yn,8087,0
e2awrmmkj3,3851,1
3pyl2qvdk3,1558,0
37o92oo4vn,841,0
e2jvzxqwa3,1338,2
394ybrvlge,11080,0
edy86gx4we,3826,0
ek7m6z4843,14138,4
3xqrqpl9xn,4864,0
36ppxy8j8e,1270,3
39jjlap8de,5435,1
3alvgkyg8n,3699,0
37avdzaq93,2605,15
e5v5yojv93,12503,2
nm2agklbk3,1456,0
37xzkq5rpn,3973,2
4e588y6k9e,1738,1
nbyworm6me,3978,0
erd2gd5j5n,4523,1
3lrkxlkby3,855,0
394g5x8p7e,8938,0
3oy4ao8o9e,2216,0
z37yoqyvv3,7437,0
ngqwpwz6v3,10625,0
ed76r49mwe,2635,0
3xz929lxpn,5720,0
9ekx9bwvrn,470,5
3zadzlldjn,435,1
e24d4qzqa3,7182,30
39la2a28g3,14040,0
e57zrlkg43,525,1
3zroblvp6e,1122,2
e52y4ymv4e,13499,2
ny4a9r28zn,2280,1
nb8yy548mn,3701,2
ng8wgvx8p3,1232,4
3xlmojo8k3,1223,0
3al4lxv68n,1885,1
3lov6g8ay3,1288,1
3pa8x2q493,1601,3
3o2vlam5kn,2254,0
3o4qxbddye,764,2
nm42wmj99n,1264,4
ngbg2ajdb3,1292,0
er4d4zg88n,11108,0
z37wz8gjpe,8184,3
3oboj4g9gn,2322,0
36pdx2bkoe,1182,0
eryvkqvdjn,8533,1
nqzdywl9kn,3781,2
37ryo4qkvn,1117,5
38dz5bprpn,1296,10
e52j4q5g9e,729,0
37aw2zx7w3,1837,1
384blprqon,19881,2
38wmgz4q53,9460,0
3j69d67g9n,1365,13
37x8pdbo9n,6403,0
34p9jpqa43,9666,1
nqy57r5zwe,1216,4
34xr9595yn,937,2
ng9775bbpe,4012,3
3aybr5m9b3,1142,0
nm4majmmvn,7899,35
ngox77wxae,5376,7
ny7rz89oyn,16195,0
ped4zrllge,20290,1
37roklr6xn,8055,3
ekozdb7gdn,1626,49
37vvrllpw3,2377,24
3aljkd8xdn,1535,281
e57zray7b3,1982,3
3jqroxkvwe,2020,1
37vx7oq2j3,4470,2
38k7mmbo43,912,1
e25yoxvzke,2691,0
4ngaj69zpn,1199,2
3p7myld483,5535,2
367kzbljoe,1190,6
wnbmj5xg2e,2145,0
34qxw5obme,937,15
3xaa8d2yle,2061,0
e5lk294gbn,179,14
3xy58xbaxe,760,0
ny4myp4mzn,2879,1
ngqrzpozb3,2635,0
nvrz8k8pje,5705,2
3aqdqmldve,3616,0
3aq4k5xome,2927,1
g38mb5rzdn,5995,0
x36dgwglje,4402,32
37982257jn,3947,0
3xa5qy8mde,2931,1
3ax2gxdqmn,6592,2
36vgzywyoe,1215,1
382xd9avo3,218,1
3o824jd7gn,2944,1
3or58gbj93,13808,2
nb6vzoxw23,4589,3
er22l66z93,1499,0
nb4ov62r2e,1009,8
ergqo55gjn,9226,1
3j6l8zrgwn,3577,1
nmzo85x9k3,3342,2
nm2jqjjld3,5570,0
ekokagwy4n,910,0
nyax89rg9n,16428,1
38d6bro4pn,23882,0
z37g2morw3,2745,2
38z4axqmj3,6081,4
39ld57oj73,10943,1
39rbzga7d3,5603,0
edgwqoojze,856,13
3al874jq7n,10178,52
3a7pjbj7b3,3402,0
edzr5rvl4n,10728,0
nbmmk84jye,16225,0
3j8k4bzxpe,1838,0
nmryq9moje,2273,0
23ljp4qy7e,5240,0
er655ll29e,7153,0
ekojk6gj5n,1677,1
nqvaogorme,2055,3
e59zqwdpon,8650,1
edzy5d7mdn,964,10
m39gpjda7e,5295,10
3j8llbxmpe,1674,4
er56p72zl3,10586,1
3xzpx7yqdn,6454,1
3obblxdozn,4127,0
nmrwvqzaje,33388,0
38xv7jbjoe,16784,7
nyayjxzl9n,970,3
3lbppxjxzn,5432,0
ekg28zqar3,6443,0
nm8gbrw293,6531,2
345a6abp4e,765,1
edkkyjo9wn,5858,7
3l2zko8jyn,4858,0
eko9v7pw2n,4760,52
nyamljyazn,5821,2
nbo7q2p6a3,6907,2
3zr5xwzj4e,3330,2
3lpk7lxbbe,1369,5
3zzgm2kmj3,2069,1
nb45476q9e,1744,2
e5584m4y9e,638,8
nvrbrdr6pe,4989,3
364l5ka7oe,16788,0
4e5bbbp6oe,9508,0
3j6kadpb9n,365,0
34jp5y5ky3,9420,2
nmmr4bzd9n,7511,6
xery9z2kjn,3879,2
73o5dbvqyn,3110,2
nvp8594qpn,20400,0
342gy7ajke,486,0
3wwvqb66m3,13068,2
3pa4wlbw93,1569,4
ery5axqd7n,9256,1
ny7g766w9n,4605,1
ek8qzqm72e,507,2
3l689mb2d3,2898,1
3827opraj3,16231,3
ng9vjayxre,2958,4
3jq28l8gwe,12793,1
e5m26w4x43,266,2
34kbmag5pe,5873,10
ngo7kd4jpe,6092,0
ery9m24j5n,6370,0
3zwagz8g63,287,1
38x4x7kj5e,2446,11
3xydmgl6ke,4207,1
83wraokkxe,1042,9
nyqd2vjjd3,4765,2
3zgxq6854n,2660,1
nqlr2jomo3,540,0
3lbjkjm6zn,2854,2
39jqydjx7e,14473,1
3xz8kyq4xn,1814,0
34g9qqd943,3497,0
er5q6o4rl3,2200,3
3jqyzjgmxe,4410,1
e57l28xqo3,1022,2
e2vawg9yd3,1723,2
39zjy9logn,3639,0
3pxombrwgn,17025,0
23l6alk273,11512,1
nbkygarxmn,5537,13
3az7qqj2de,957,0
3plo4j89gn,15170,8
3l2q8pwlyn,2780,0
36y25l669e,367,90
3ob78mxm9n,106429,0
3jqvzojo6e,1973,1
3pqdv49w8e,12447,0
ngowwpdyre,2296,4
er2xarl973,32112,0
3axal5bwbn,3997,2
nmqao56j93,636,11
e572pz9ab3,5291,3
3l8q5y8jbn,5691,0
394p6zjqge,1782,1
nqq2vj2kzn,2469,1
e572xqwkg3,2061,44
x36kozv4jn,1982,0
3l2drwvoon,1919,0
nvr2g5zobe,4902,5
4ngva995zn,11634,0
3pl5yvmj8n,1966,0
396dak7873,6153,2
nvz89x85p3,1493,1
37x8rzrjvn,1907,20
z376wkawpn,4899,1
39lryz9qg3,3202,17
ek984r6pdn,3396,7
34kx7k5wje,6012,1
nb6ply4ya3,14204,2
nvomrgzype,8908,1
37549jy89e,1648,1
ng64y79bze,1400,2
rnq5prqzon,2946,1
3622vbmlkn,305,35
39z99mm5pn,7720,1
e5bvr96woe,2027,3
345vq4jqke,15652,0
erdkm7objn,3777,9
nmq9poro93,694,1
e225yo9l6e,1077,15
nqlyr5a6z3,1675,1
er2vjyg773,3882,1
ngqpoo7qa3,3750,2
ek7kkkm5g3,1387,0
3jzwp2kqpe,795,49
3zdvgxzz4n,5787,1
l34gj9vwk3,6800,0
nmq46orpx3,3532,4
nm2b5mard3,1821,1
e2jwklk8d3,6848,0
edzlmvdqzn,2844,3
83wgmwwgmn,1652,0
nyddr9l5yn,174,9
nykvd6x5d3,30253,1
nb7dqvvg9e,10062,0
3pq5zxvgbe,1503,13
3w4dp449qn,3953,2
ng9qrdxqze,2728,5
3pkomklxke,827,4
37bayjl4je,340,1
e5p479bqo3,1511,4
l34a7r58p3,774,2
3zgpbd7xwn,4737,0
ekbaq5a42e,50641,3
z378ld85we,4109,1
3wvgjpkwzn,10730,1
erb8v7vx73,5207,0
38m4xvl8jn,903,10
ngb9wmjxz3,1552,2
nvbgd7lkb3,12600,6
edzpwlr9wn,6943,1
38zvwmyvd3,4131,7
edyga75l4e,2159,13
nm2zb5z5d3,2036,1
3lrmyb5po3,23930,0
eko74x4drn,3262,12
e2dmmgaqa3,4060,0
ekz7blwkge,2656,0
nvzj4z6xj3,175,59
9ekqr72wde,2358,1
3wvgmg2pqn,3140,11
36vvm9a2xe,4851,0
erg46odzln,6143,0
nqqjop7lmn,1661,0
nqqqxk6von,3710,0
nqaokdrvke,912,0
e52d6mbore,681,4
3j2xpj67we,22170,1
3oomxbggg3,35151,1
