"sku","cost_price","Vancouver"
3way6j2bzn,2637,1
3wq7dlmgx3,2112,1
3a824amgve,4176,0
346ovvmyjn,1940,0
nmkvvyd293,1390,0
wnmo5gpgke,2866,1
4e5gad6b3r,12563,0
x364lmw6xe,1642,0
ngvb5qw6vn,4018,1
346arvlv4n,12343,1
3pqmapazke,5283,0
nm9v5db6ve,1499,0
edxkwzkwz3,449,10
3lm6zr5vze,2969,1
3arrzvvjmn,4263,2
396rk6g9g3,9067,1
e55dggoare,8888,0
37avga6jj3,523,6
3jvg746463,2660,2
3lrzy2bp73,3268,0
nqyzyg22oe,6977,0
nvqvraobj3,2562,1
nv92wq69je,1585,0
ekgxbprw43,2954,1
3zzqavdwj3,785,0
38xjy5wpde,312,1
3j28yvxx9e,42498,0
3aq6p9b7me,1664,1
368a7vl7kn,7261,1
3xypm5djke,19664,3
qnv6ppv62e,1030,1
3xxz7lrq43,6268,0
pedjopmw2e,3496,3
nmzl49g7k3,38618,0
edkw2pgo2n,5154,1
nqaoozylke,335,0
3wy4x997yn,1381,1
e574aykdo3,716,0
3xzwj7974n,8743,2
3jvyo4wx63,4843,1
e2jklm2263,33277,0
nb4k685r2e,5818,0
63x6xvrm43,10323,1
nbodwqyrx3,14368,2
345oqkrqke,572,0
3o2okvjozn,318,3
375zvmbx9e,1637,0
39xwjg99d3,2483,1
83z2k2z443,3322,0
nqqgaxd6on,4596,0
e2gj4okva3,2355,3
38m5la2j4n,7987,3
ergkm5q8jn,2446,0
379g7l5rjn,960,0
36498kk78e,187,0
39goklob7e,1706,1
nv99pr62be,11220,0
edogaj7423,654,0
nqzmakdy6n,1907,0
3a8dmvagve,13854,0
x3akzq4w8e,6475,2
368xwowz9n,4708,0
e2455jrra3,7923,0
x36m48ljeg,3162,0
374rb2gbx3,9392,0
382p7w2m53,66235,0
e5zbzmylge,2096,5
ekqrq4kb5e,1076,0
e2bp8a7jae,755,100
3wxoaywame,748,2
ed74789o4e,3202,0
x36rkpw5o3,1866,1
3pyjylxgg3,2138,0
nyxaa5rd9e,9763,2
3pkdd6qr9e,10875,0
3l2vkldvdn,1348,0
ed87mwb5zn,4830,1
3paax6by93,2568,1
38zwpalrd3,6570,0
3wl6rwblqe,7329,0
3a57bvg6me,49086,0
xerldk7lle,20589,0
edo9jq8vz3,1301,0
3a56kdz98e,19755,0
3woglybyqe,2991,1
nb8m6wq9an,1619,0
3l6j6m7jb3,2956,0
3xxmw98ax3,2142,3
ngbokyydp3,616,0
3wx4vdjrye,5273,1
e55gqbwvbe,2743,10
37254vp8we,8932,1
ngvojdzvpn,4638,1
nvv4j8a9xn,1112,0
3ar25q2rvn,1646,1
3ay74q6xd3,9205,0
3lmg4p4aze,19891,1
edogrdr4w3,6576,0
3jrg67plpn,3196,1
3wl9mdqzye,1778,1
e59d56kxbn,3873,0
3ww4l2zwz3,3556,0
nyx5pq6jle,13577,1
nb4gj264ye,3300,0
3zkzazjo83,511,12
63x6g566p3,1751,2
erdzxlgbln,17036,1
nvp2bpq9xn,872,0
ny4ylrx5yn,1121,0
nmmaj946xn,1252,38
ngoa84zjbe,1984,2
362rwa9kon,6904,0
3a97wv2jbn,7181,0
nqyyk5vpme,9473,0
3p9g7xgb8n,5321,0
3ayw9zlxd3,9741,0
ek2p8lglge,7606,1
38kaob9yj3,4748,1
ngb7gxbop3,4389,0
ekgjk2jo23,1764,0
nmk99kj7j3,20279,0
3lrd6774o3,10723,1
er7mbwv58n,431,0
34qo64qyme,4978,0
nyyj4o9pln,3208,3
3wwggaomm3,5622,4
edd5kka62e,2733,1
83w5ab6ob3,6383,1
3xlbbb8xl3,529,10
3xoqm6r843,7843,1
38wv99mad3,723,1
37ax6o7bj3,5337,0
edkdyyxo2n,4280,4
nmqwzwxjk3,578,9
367g2wxmke,1496,1
e2dlj47oj3,1575,5
ngaad684vn,1539,0
4e5d4jd4r3,2628,1
e5zxvzbdbe,12122,2
374wq8l5p3,2120,6
36v44oa9je,10993,0
er76jmpz7n,1076,0
er7pwo8q9n,10562,0
nvro7l5rbe,890,2
3olxvl6z93,3229,2
nya2wzky9n,3785,1
3zwq6bra83,1410,0
3zl9yb2g6e,2544,0
3xagwwrjxe,158,3
3lbvy8v2dn,3810,2
er79qgyvln,4406,50
3zdpjgklwn,16289,1
ek2dyz6j4e,376,6
3jlvzmav9n,2376,0
3zl8od7q8e,7186,1
eryqgmwp7n,4499,4
3jm625pow3,2646,10
3jq4k8q2oe,7059,1
e578o74zo3,6251,6
38mo5qmb5n,9838,0
edxkj4k2w3,6153,1
e55vglx64e,2858,3
3pmdjk5z93,8470,2
3jxavjda9n,40775,0
37597gvpje,2047,0
e22lxp7dde,7799,0
nydxmqjoln,2068,4
3xldgxvdx3,1157,0
3alxowry8n,13017,0
3paomz5r83,1701,7
e22am6jrde,2717,1
nqlzvvojz3,4251,1
nmkzj5x6k3,1501,0
3ax7owvamn,1871,0
m39dmw9vye,2263,2
ngoxmgwope,337,4
34g6pabdy3,2580,1
39g89wakpe,1199,160
nm9wzrjk9e,26537,1
3949kwxqpe,2338,0
3l8zv2r9yn,8087,1
e2awrmmkj3,3851,0
3pyl2qvdk3,1558,0
37o92oo4vn,841,1
e2jvzxqwa3,1338,2
394ybrvlge,11080,4
edy86gx4we,3826,23
ek7m6z4843,14138,7
3xqrqpl9xn,4864,2
36ppxy8j8e,1270,1
39jjlap8de,5435,0
3alvgkyg8n,3699,1
37avdzaq93,2605,1
e5v5yojv93,12503,2
nm2agklbk3,1456,0
37xzkq5rpn,3973,2
4e588y6k9e,1738,0
nbyworm6me,3978,7
erd2gd5j5n,4523,2
3lrkxlkby3,855,0
394g5x8p7e,8938,1
3oy4ao8o9e,2216,0
z37yoqyvv3,7437,1
ngqwpwz6v3,10625,2
ed76r49mwe,2635,0
3xz929lxpn,5720,0
9ekx9bwvrn,470,1
3zadzlldjn,435,0
e24d4qzqa3,7182,30
39la2a28g3,14040,0
e57zrlkg43,525,1
3zroblvp6e,1122,1
e52y4ymv4e,13499,6
ny4a9r28zn,2280,0
nb8yy548mn,3701,1
ng8wgvx8p3,1232,3
3xlmojo8k3,1223,0
3al4lxv68n,1885,1
3lov6g8ay3,1288,0
3pa8x2q493,1601,2
3o2vlam5kn,2254,2
3o4qxbddye,764,2
nm42wmj99n,1264,4
ngbg2ajdb3,1292,2
er4d4zg88n,11108,0
z37wz8gjpe,8184,2
3oboj4g9gn,2322,0
36pdx2bkoe,1182,0
eryvkqvdjn,8533,0
nqzdywl9kn,3781,1
37ryo4qkvn,1117,1
38dz5bprpn,1296,10
e52j4q5g9e,729,0
37aw2zx7w3,1837,0
384blprqon,19881,1
38wmgz4q53,9460,0
3j69d67g9n,1365,1
37x8pdbo9n,6403,1
34p9jpqa43,9666,1
nqy57r5zwe,1216,6
34xr9595yn,937,0
ng9775bbpe,4012,1
3aybr5m9b3,1142,19
nm4majmmvn,7899,1
ngox77wxae,5376,0
ny7rz89oyn,16195,1
ped4zrllge,20290,0
37roklr6xn,8055,0
ekozdb7gdn,1626,13
37vvrllpw3,2377,20
3aljkd8xdn,1535,119
e57zray7b3,1982,1
3jqroxkvwe,2020,2
37vx7oq2j3,4470,0
38k7mmbo43,912,0
e25yoxvzke,2691,7
4ngaj69zpn,1199,2
3p7myld483,5535,1
367kzbljoe,1190,4
wnbmj5xg2e,2145,0
34qxw5obme,937,4
3xaa8d2yle,2061,0
e5lk294gbn,179,3
3xy58xbaxe,760,0
ny4myp4mzn,2879,1
ngqrzpozb3,2635,0
nvrz8k8pje,5705,0
3aqdqmldve,3616,1
3aq4k5xome,2927,0
g38mb5rzdn,5995,0
x36dgwglje,4402,0
37982257jn,3947,1
3xa5qy8mde,2931,0
3ax2gxdqmn,6592,2
36vgzywyoe,1215,1
382xd9avo3,218,0
3o824jd7gn,2944,0
3or58gbj93,13808,0
nb6vzoxw23,4589,0
er22l66z93,1499,1
nb4ov62r2e,1009,17
ergqo55gjn,9226,2
3j6l8zrgwn,3577,0
nmzo85x9k3,3342,4
nm2jqjjld3,5570,0
ekokagwy4n,910,0
nyax89rg9n,16428,0
38d6bro4pn,23882,1
z37g2morw3,2745,2
38z4axqmj3,6081,0
39ld57oj73,10943,0
39rbzga7d3,5603,1
edgwqoojze,856,12
3al874jq7n,10178,12
3a7pjbj7b3,3402,4
edzr5rvl4n,10728,0
nbmmk84jye,16225,0
3j8k4bzxpe,1838,0
nmryq9moje,2273,0
23ljp4qy7e,5240,0
er655ll29e,7153,1
ekojk6gj5n,1677,0
nqvaogorme,2055,0
e59zqwdpon,8650,0
edzy5d7mdn,964,2
m39gpjda7e,5295,14
3j8llbxmpe,1674,2
er56p72zl3,10586,1
3xzpx7yqdn,6454,1
3obblxdozn,4127,0
nmrwvqzaje,33388,0
38xv7jbjoe,16784,4
nyayjxzl9n,970,1
3lbppxjxzn,5432,1
ekg28zqar3,6443,1
nm8gbrw293,6531,0
345a6abp4e,765,1
edkkyjo9wn,5858,0
3l2zko8jyn,4858,0
eko9v7pw2n,4760,13
nyamljyazn,5821,0
nbo7q2p6a3,6907,5
3zr5xwzj4e,3330,2
3lpk7lxbbe,1369,0
3zzgm2kmj3,2069,1
nb45476q9e,1744,8
e5584m4y9e,638,0
nvrbrdr6pe,4989,0
364l5ka7oe,16788,0
4e5bbbp6oe,9508,0
3j6kadpb9n,365,0
34jp5y5ky3,9420,0
nmmr4bzd9n,7511,2
xery9z2kjn,3879,1
73o5dbvqyn,3110,0
nvp8594qpn,20400,0
342gy7ajke,486,0
3wwvqb66m3,13068,2
3pa4wlbw93,1569,2
ery5axqd7n,9256,0
ny7g766w9n,4605,4
ek8qzqm72e,507,0
3l689mb2d3,2898,1
3827opraj3,16231,0
ng9vjayxre,2958,2
3jq28l8gwe,12793,0
e5m26w4x43,266,0
34kbmag5pe,5873,1
ngo7kd4jpe,6092,0
ery9m24j5n,6370,1
3zwagz8g63,287,2
38x4x7kj5e,2446,0
3xydmgl6ke,4207,1
83wraokkxe,1042,9
nyqd2vjjd3,4765,1
3zgxq6854n,2660,0
nqlr2jomo3,540,0
3lbjkjm6zn,2854,6
39jqydjx7e,14473,1
3xz8kyq4xn,1814,1
34g9qqd943,3497,0
er5q6o4rl3,2200,0
3jqyzjgmxe,4410,0
e57l28xqo3,1022,2
e2vawg9yd3,1723,3
39zjy9logn,3639,0
3pxombrwgn,17025,2
23l6alk273,11512,0
nbkygarxmn,5537,18
3az7qqj2de,957,0
3plo4j89gn,15170,1
3l2q8pwlyn,2780,0
36y25l669e,367,40
3ob78mxm9n,106429,1
3jqvzojo6e,1973,2
3pqdv49w8e,12447,1
ngowwpdyre,2296,0
er2xarl973,32112,0
3axal5bwbn,3997,2
nmqao56j93,636,7
e572pz9ab3,5291,0
3l8q5y8jbn,5691,0
394p6zjqge,1782,1
nqq2vj2kzn,2469,1
e572xqwkg3,2061,66
x36kozv4jn,1982,5
3l2drwvoon,1919,2
nvr2g5zobe,4902,0
4ngva995zn,11634,1
3pl5yvmj8n,1966,0
396dak7873,6153,2
nvz89x85p3,1493,0
37x8rzrjvn,1907,5
z376wkawpn,4899,0
39lryz9qg3,3202,2
ek984r6pdn,3396,3
34kx7k5wje,6012,4
nb6ply4ya3,14204,1
nvomrgzype,8908,0
37549jy89e,1648,1
ng64y79bze,1400,1
rnq5prqzon,2946,0
3622vbmlkn,305,4
39z99mm5pn,7720,0
e5bvr96woe,2027,2
345vq4jqke,15652,1
erdkm7objn,3777,7
nmq9poro93,694,0
e225yo9l6e,1077,23
nqlyr5a6z3,1675,1
er2vjyg773,3882,1
ngqpoo7qa3,3750,1
ek7kkkm5g3,1387,2
3jzwp2kqpe,795,8
3zdvgxzz4n,5787,1
l34gj9vwk3,6800,1
nmq46orpx3,3532,2
nm2b5mard3,1821,0
e2jwklk8d3,6848,2
edzlmvdqzn,2844,0
83wgmwwgmn,1652,2
nyddr9l5yn,174,0
nykvd6x5d3,30253,1
nb7dqvvg9e,10062,0
3pq5zxvgbe,1503,4
3w4dp449qn,3953,2
ng9qrdxqze,2728,1
3pkomklxke,827,5
37bayjl4je,340,1
e5p479bqo3,1511,4
l34a7r58p3,774,2
3zgpbd7xwn,4737,0
ekbaq5a42e,50641,0
z378ld85we,4109,0
3wvgjpkwzn,10730,3
erb8v7vx73,5207,1
38m4xvl8jn,903,44
ngb9wmjxz3,1552,0
nvbgd7lkb3,12600,8
edzpwlr9wn,6943,1
38zvwmyvd3,4131,0
edyga75l4e,2159,5
nm2zb5z5d3,2036,0
3lrmyb5po3,23930,1
eko74x4drn,3262,1
e2dmmgaqa3,4060,2
ekz7blwkge,2656,0
nvzj4z6xj3,175,5
9ekqr72wde,2358,0
3wvgmg2pqn,3140,1
36vvm9a2xe,4851,0
erg46odzln,6143,3
nqqjop7lmn,1661,1
nqqqxk6von,3710,0
nqaokdrvke,912,0
e52d6mbore,681,0
3j2xpj67we,22170,1
3oomxbggg3,35151,1
3z7prwv97n,2687,1
3798g5pq9n,7076,1
37bkjlq89e,4238,4
39wyo4kdgn,5613,0
ng677kgxae,5222,0
83z4bpxm4n,1077,0
3pyl4ky6z3,39593,0
nvp252qzqn,5013,2
nqzvkxv8mn,1477,5
eko2pwmygn,1298,2
ng6vdbgbpe,20927,1
38j86by55n,11838,0
3l72gdm2be,1436,0
nq2pdgxbzn,4261,3
3oo9mzzay3,27554,0
39x7ladwy3,1263,0
nqaqar496e,2138,2
ngaar4ygan,20515,0
o3ppjv9dg3,5410,3
erqokwbjl3,432,260
3lx962k5y3,5520,1
e2vbajk6k3,324,5
edxblwxb43,8704,0
nmkkzpb4v3,7150,0
nmmm5xwrjn,4985,1
xerw76bg83,2350,0
3jrdb9kvpn,877,0
34k5dzvwpe,6066,0
83wkkd44m3,1014,24
365yrz44jn,3359,0
3l7pvvm9be,8628,1
3ax9oaq4mn,64171,4
ekq2k5mxre,7787,3
nvogp2z7pe,14026,1
e5gb744q43,1177,0
nyxywj4gye,2256,8
nygqgqvazn,3208,3
38v7v6b54n,7549,1
3p746g7wk3,4004,2
x366dzkxk3,5554,0
nmovmwrgxe,3371,0
37ayo4bmx3,1842,0
nbabqzvdae,1021,0
nb7dzglw9e,4670,0
eraxbyrzjn,146,94
nyq4bg7gl3,756,2
e2awkkrxk3,2860,2
m39kg9adnw,18260,2
edz882o5wn,2407,2
362yxzjjjn,2887,1
3462vblk4n,2035,3
er2gw5mk53,1663,10
3jq2l6wq6e,3398,3
nql89k4do3,365,1
3w4pk56zxn,4775,0
nvyoov9rpn,122,10
3ayvab2a83,1044,0
nvr5lw7xbe,3154,0
364rbq499e,2398,2
nbmkl4q69e,14781,1
3j7z5wxww3,1042,9
x36zvw428n,642,2
3zpxyljajn,4932,1
34pav6j4y3,1122,0
e5vmox2xo3,1621,31
3azmqj2ove,347,0
ed7o7ljw4e,231,1
3wkl55vzy3,1259,8
edx26dm5z3,559,30
36y9lk66xe,27471,0
nbay57ajxe,2960,0
34xyjdovkn,2845,2
3ax57pd8vn,7889,1
era945jb7n,11733,2
394gvy4ppe,654,1
83z8oap773,738,0
39z2qlb87n,8683,0
3jxgrr8don,1191,0
39r6kvrl73,9479,2
36vj8xzmoe,6604,0
nq2xwl48wn,2376,0
nb4ol8pm9e,1104,3
ergavrxyln,14955,0
374xpj4r93,12649,1
ngvx8pmyvn,3561,0
eddowmazze,2240,0
o3p9pqkakn,831,1
nyxzokyzye,288,0
ngbqaldqb3,9837,0
pedozyr436,443,0
34jvoxj443,767,1
er2olgq953,12000,0
3682k6v4xn,8017,2
37m7k8dqj3,1132,0
3jmq774kx3,9014,0
3zzk5o48j3,5730,2
ek9622mgdn,3755,0
83w9zokrme,95,13
nvrpgd7jpe,3285,4
37vj795wx3,12578,1
3lrjrjkdy3,2161,0
ekqyqqoo2e,10233,0
34b8wgmxje,4307,0
ek49qapad3,379,0
e57g8k46o3,478,0
ekz88x8p4e,6309,0
3l28gdmkon,21595,2
e5zzg4q84e,5576,4
e5p467w2r3,821,1
nm49586kxn,13662,0
eko6apoagn,2613,7
3or2o4y893,2148,0
3lo5azvvy3,19396,1
3jqwy6xl6e,3910,1
nmr8gzayde,1344,4
ek7rxxbq23,1259,3
nmojl8a5je,4671,2
g38jmzk8dn,4661,1
erb7k7zzj3,1238,6
37madpoyj3,11319,1
3lxy26pa73,7238,2
3pybgwkrb3,2517,2
nvk97yzxj3,10399,0
nmkxyd6md3,6413,2
ng96v55oze,3832,3
er5qb8pj73,232,0
3ayxvdpom3,17430,0
nm2pdza8d3,625,1
38wxkg8qp3,5682,2
367mwv6qoe,3592,5
394yx498pe,6619,0
ek8goy2r2e,3682,1
3aqpllr28e,4234,0
x366g7rg83,1528,4
ng85y6w8r3,34408,1
37ryj8g8xn,7795,1
nqq57m9pkn,640,0
nvk28vjap3,10696,0
3698lw87x3,791,3
3w4w2l8jmn,631,27
3j786qlmx3,723,1
nyky9waoy3,2451,3
3pxbwq27bn,13947,2
ekqjlqkl5e,9779,0
3676kpkg9e,21767,1
nvpp9v492n,3054,2
3jm9plq2w3,7474,1
3ayprjvzb3,1791,0
3p2vmd4pbe,5478,1
ngazw8rapn,11487,0
3jvj2oawx3,5031,0
3a8zqvxdme,4027,2
83wx2mllye,842,12
e5ldkmj2on,8607,0
39gad7ywye,201,4
erax86pj8n,135,2
3l2jqdxl7n,4781,0
ergwvb455n,3081,0
362477rz8n,1503,1
39lgywjp73,2616,1
nqal4ok6we,20065,1
3jx5ar8pon,4430,1
3wv8a2arqn,1457,1
nyx7bzjyle,4265,0
ekobr8yk4n,10491,8
er4dxx4d7n,16015,0
4e5dk8dlr3,14804,1
3wl6y65oye,7063,0
ng966ywmbe,1942,1
edgv98zwze,8003,1
3jzzq9rvpe,2823,2
4e5rwgg4nr,4738,0
nqa2ldgxke,9365,1
3pyo9mgjg3,2081,7
3948om5oge,2974,2
3wojq6jjxe,3678,0
erg9vxpo5n,2256,2
e5959vx4bn,8001,1
e55gbxpj4e,5038,2
3a9rq4x6bn,3762,3
e5lrvz2rrn,874,0
3pm5bmq9b3,1359,0
ek2zx9dd2e,6438,2
3lxdzjwlo3,7041,0
3pkrqq9xke,1180,0
nvz75zklp3,3108,0
ny48ddaodn,2209,0
39xmvadpy3,18000,0
er468dqljn,6654,0
3pkv6x99be,8015,0
edgxb4lqwe,11249,1
3plkazdzbn,5865,0
nm8bw5okx3,5304,0
j3jx2j7wxn,11771,0
nbkajo899n,1830,0
3957ao9wyn,7869,2
3xv7b4o2ke,7009,3
qnvmwpqo2n,8955,6
erd7a2825n,4363,4
3pkv2zyage,192,1
3al62oba7n,10853,0
364qyvbpke,557,0
ngvv7pyvzn,25,20
rnqxvxk4o3,1651,1
3obkll9a6n,13799,0
wnmbx8x9k3,1557,0
nql7vk47w3,2074,10
36pmx4og8e,746,1
nb4x2mjv9e,2613,2
ek9rmj2drn,2366,0
nm97lgjyje,5409,1
37ammaaq93,2945,1
34k2w9da4e,1271,9
3zw247yb43,1788,0
nmkojxayd3,16840,1
39zq524wyn,1909,3
3jz9ww9dxe,5024,0
nby9pl67me,6094,0
nqlp2mzkm3,5288,1
3pq28o6dbe,1830,0
nby4zp7l9e,2339,4
o3pgroqyb3,26348,0
e259wzo9ae,3403,0
nv4ll7lzjn,25970,1
nm9zkzoxxe,7876,1
ery7wyom9n,35,0
e57m49wlr3,9373,0
z3775lvzx3,1786,0
3aq5w2jrme,2807,78
ek8779rjde,875,8
34b7lp88ke,4473,1
36yo7gm7xe,759,0
83wxb56mxe,4236,0
nmow2vyxke,7423,1
3l8998zoyn,2628,6
3j2obrvdxe,3339,1
345a96g2me,944,2
e5pjbrvdg3,8901,0
ekzrmygoge,777,0
3zlob7qg4e,12404,0
nbvym48pme,1279,1
nvpm46mvbn,746,13
eryry6rbln,17049,0
nvo4jbx22e,3824,2
38vgjmlxon,1153,11
3jzgygqyoe,3774,1
nvpv6q5rjn,5046,0
4ng4mo4ran,1799,2
3jvjlarb63,29070,0
39x8j62ld3,8299,0
3p2arok49e,2285,0
394r4w7bye,3465,2
e2o4vlrxan,1439,2
3aq8zxvzme,12320,0
rnqddb78ke,3576,0
3az655rbbe,201,26
nmq8oqgqx3,2348,2
3j6vmd42on,7460,2
39jb24r2ge,526,2
3zglw8a9jn,1872,0
ek4m8qgyr3,17527,1
nmogx4dxxe,1244,0
edk95yygzn,32807,0
382q7ga6p3,9384,1
3px5bwojkn,6928,8
3ozbw7llkn,6807,3
3oogmz8d93,389,50
nbo9j2oya3,3968,2
3za484wmjn,1868,10
edg2g2jv4e,692,0
3xy82pgo4e,26967,1
3jlrab5axn,2700,1
3wqzwwxmq3,7261,2
38xpmqzbje,11343,1
34p8rgzpk3,669,7
3l7kzo9aye,821,0
3956qm6pbn,588,1
nbvygo6dye,3522,1
qe2g9gmy63,577,0
g38x92r25e,3809,3
34p6ymgq43,1408,0
83z48qg7jn,692,0
wnm6vwa7ke,59669,1
ny7x6qmdln,10478,1
3zlkm59lwe,612,5
e2jlvy9zj3,3980,0
3672zjorje,25385,1
edzrypmlwn,6015,5
nb6rlq4w23,3340,1
394977gkge,1699,0
o3p4lo7q93,926,0
3aroq5da7n,1932,0
e576jz6lg3,5639,0
39gpaavm7e,13478,0
nb8vzplbyn,603,0
e2559dowje,4440,4
ng8paazqa3,300,4
36ovvabb83,1124,0
nq2pgmlb6n,2322,3
37xqklozpn,21860,0
erbaqpdz73,3522,0
3l689q8bz3,6013,12
3wvq9gjbqn,4629,2
374wwl9vj3,2232,1
367vvdywke,3442,0
3arbwxjr7n,6042,1
3ob4mkxzgn,2370,0
e25g7d82ke,4808,0
3xzg85264n,812,4
4ng4gxgxpn,42079,0
38wlw47op3,5649,0
l34j2rw6y3,1124,0
nm2wo9kjk3,6993,1
erg9kbrgln,860,1
3xrko5lgp3,3192,2
erqvobrl83,3527,3
38zjlplk53,2209,2
er5kxzr4l3,941,27
4ngymq7rbn,1263,1
3zxo4w2y6e,1885,0
38kv8lo9j3,2202,2
ek45p27d23,1193,0
3orx5zjv63,23040,1
ped4a44mde,929,0
9ekj955q23,1648,1
372b5vkr9e,4366,0
3l6qb4mrd3,2226,2
edylm7zpze,6632,2
e5gkkq72r3,24188,0
nmmmgdbjxn,2472,0
