"sku","cost_price","halifax"
edxqwk8723,820,0
34jgvmvlp3,11415,2
e2arwyyba3,1304,0
ng9lobojve,11085,0
e55zvwp94e,6153,3
edx7vlbpg3,1449,1
37b9ad46pe,1760,0
ngalrwykpn,7554,1
ekz26z4k5e,2507,15
e5m87qxk43,4617,3
ek8wb9xa5e,7319,1
4e5v742b93,2811,0
3698ar9q93,13933,0
z37ko4a5pe,1306,0
nm82k8g5d3,8121,2
3ooborgzz3,7017,2
ny766y5ldn,7411,0
368jvg978n,2052,2
nba4y28kme,11959,0
nb4qdwbg9e,746,10
3zw2r78aj3,4108,1
3zk2okqxw3,1266,2
edgdrbbzze,14474,0
nyb5qqrgz3,375,0
o3pa2kbpb3,4248,1
e22zp9dbje,12096,1
nvkwx7llq3,19074,1
3l6prom9y3,32699,0
37mjbx2x93,3626,2
nm24g8p493,10875,1
nvr26wv4pe,1371,0
3aa79qzov3,1047,2
x3amaqkld3,5719,1
e5z2z2dp9e,644,13
xer4mbrx5n,2479,0
ek25a488ge,4442,0
ng4qzak2pn,218,0
nqzy97kjkn,9508,0
er5qp9yvj3,23378,0
ny7q5765yn,3072,2
ngaqarwazn,8253,2
nq6qjo2zw3,3891,0
3ax5wvrb8n,1257,0
nm92dzkvxe,2416,0
ek8bvr9w4e,18764,0
e5vvbx6xo3,613,4
ngv64jlqpn,6153,5
3l7o7qjyde,2968,1
3a594j4rbe,24510,1
m39g9akqpe,2204,0
er474zak5n,12651,1
xer5xx4j53,7925,1
3wq5or94y3,11814,0
3jmzorobw3,1835,1
3zkr5zllj3,5274,4
3lp6d8947e,3481,4
3aa9gbyw73,6098,1
edkojbdazn,11761,0
3pmbdjbrz3,6636,0
x3a9wq29dn,3597,7
qe2g7baj63,814,3
erqz7d8473,3450,0
362dplvwkn,3144,0
2nygbpagyn,4007,3
342gj822pe,14053,1
63xr77j543,1759,3
3xzv47wykn,12636,3
73ojop469e,4439,1
3p752996k3,8966,0
3l7l2b59ye,4450,0
3jqjr8y9pe,1713,4
nbaaq2a92e,2953,2
nvrv7gyjpe,2300,8
3j88ywvjoe,1661,0
ngavo8a9vn,9020,0
3wo5879qxe,4454,0
nb8wmpj7yn,1020,2
362w2642kn,1020,5
3zwbq8rj43,2807,0
3wxyg7y5ze,6251,1
37bjpdm5ve,1334,2
3wyq2zl9yn,1540,0
3zk7mk8m63,8358,11
e2vb6ojdk3,13197,1
39bb7667bn,14448,0
3ay47r24d3,1013,4
3oorjyaz63,7605,0
3oo4pxva63,9560,0
e2m7pzvx73,6813,1
j3jlm7mkwn,6134,0
3wl6o7pqxe,8655,1
ngbmvpl7r3,742,0
nm8grbvwd3,5130,1
qnv6mxykxe,757,2
qe2xl7ordn,1082,0
ekqxq7zj2e,3253,0
nvqjmk4d23,5031,1
34g4ll79j3,880,0
xer8go873p,2947,1
3wypqwb9qn,4957,5
x36p8aaqxe,9245,2
ng6j4owwve,5128,4
j3jjzylqo3,3907,2
37rvrmggvn,1086,2
3j87xa2q6e,3029,5
34gzy8p2j3,2036,2
nyqbprdq93,9849,0
36podva7oe,19049,1
73o5dd6z9n,544,9
367dqbvdoe,4855,1
63x5okxykn,10135,2
39xda8pp73,7962,0
ek9q79v82n,8814,1
3jq6ky6k6e,418,0
73ork2mwz3,2620,3
nmrdgjl89e,1486,0
3wxqaqmbxe,8696,3
3622vyyqxn,622,2
nbyr854l2e,1074,5
nbvg4adaxe,2506,0
eryyypg4ln,6808,1
3jzrrqqwpe,1014,24
37bvl7rwwe,1199,0
ng6pv9dbae,4942,0
3alr4ylrmn,3549,1
ngqbg76ap3,1603,4
nqpdyjzawe,1596,2
3p7r82lzb3,3379,0
3z75r8mg7n,5247,10
3xv7qookle,5895,0
346wmzwvmn,2875,1
nqpdkrxvoe,287,1
nb8wvqvdan,2660,0
nyk9r27r93,2969,2
erb4r5wdl3,32695,1
3axqzkx6bn,594,2
nvvl6898qn,3291,0
37rg9y9gwn,111932,0
349ogkly4n,13394,0
wnmqz59dk3,5238,2
x3am64q73r,9676,0
nq8jkr6kmn,8675,0
39x87o87p3,45566,1
39zlrqabdn,4350,2
nggw6kvavn,6417,0
x36gdw4x8e,2014,0
nqzz4z69mn,17466,1
ng49bbbzrn,1509,0
z37wggvkpe,5716,0
379aa4bbxn,10319,3
368akomoxn,21855,1
3425299g4e,7516,1
34gdpl29y3,993,0
3xqq8789xn,2271,0
3plqjl84gn,653,1
e25wa7djje,24812,0
3pgaqpzok3,1042,8
37mg5b47j3,6525,12
349vdgqyjn,2013,2
nydd5vkzgn,5288,1
3pga5ar4z3,6468,1
nm8q2rp6v3,3887,2
nqpjvkrbwe,5740,1
erg6wod59n,1122,3
3pl7mlda8n,1350,3
er66ywwp5e,12762,1
nvbd4wrpj3,6066,4
ng49gx6gan,9061,6
nykl4vm6y3,32286,1
edymwrmr2e,1186,0
73ogdwrrge,1563,1
er5r2r9o83,7727,2
396wzqxpy3,3157,3
xerxqgak8e,538,3
3xodyjd643,365,18
3xzpz7ow4n,431,0
e2ma942oa3,7543,5
9ekjg6wy43,11359,1
3oozxzjyg3,1491,0
37axrrmwv3,2350,1
nyqgomdw93,20303,0
