"sku","cost_price","montreal"
3pxqojqm9n,2218,0
e5mlpr4493,8378,1
nq24z4lmzn,3969,0
83wdqd7pmn,3005,1
nbmqmx7v2e,25721,0
ngqg9zkga3,1487,0
36pqjavk8e,2079,8
34j259voj3,909,2
nm9qk5m4je,1367,1
e2mykvmwk3,7392,1
eraaa5p65n,1182,0
nq8wm9vvon,930,7
ngqj95jap3,443,36
3wka9l26b3,1015,1
nqy9kqx6ke,3670,13
3jlpj44mon,4557,2
3aqgwmoy8e,4127,0
nbym7owwae,1504,1
ny49qdwxln,6656,3
3w72kpw2yn,394,620
e2d84qr973,2488,2
3xq8bx22xn,4587,0
3pyjyarj83,13926,0
nbkja9vx9n,1089,2
3wxlbapkbe,1374,0
e2ao4j78d3,2151,4
ek4yoglzd3,39531,2
nmo949q79e,1328,0
3l8vab7vdn,4012,0
39w8q7g2dn,27902,1
nqz5ybr86n,3509,3
nbmwpab8xe,1779,4
3oo6o7xag3,1516,2
erdb6koa7n,4216,0
3jvvpdvo63,2084,2
38dm495zdn,3728,3
ng9wglajre,8257,1
nqawo6pd6e,5719,0
ekq9av6lre,5971,2
nv9myr5ope,584,48
3ax88rkzdn,3698,3
3zkxgljx63,485,8
3464bvbbkn,8170,1
3l2vj5jybn,4366,0
ekqj5wrbde,2876,1
e5vramryo3,3666,0
37bmdlwgve,1198,13
38dky99q4n,21490,2
nggqgp4lan,1506,0
3a5qa6pqbe,2615,1
nb6dp2pk93,512,12
nybwa5rv93,3857,0
3jzord5k6e,4575,2
erdxplg57n,1084,2
372oda4gwe,12222,3
pedkxvvmzn,3045,0
3azm8gadve,611,77
z3779wmgv3,3362,0
346294wb4n,5713,0
36o8qok6x3,35314,0
nya6mxldln,779,43
nbmglzw5ae,809,12
3oyrpyz2ke,5159,1
e2m2rg5673,1507,1
nqq6mdd26n,7752,1
36vpkbdz9e,13176,6
36y27ldmke,800,0
34q827qvme,561,27
edovv4dk23,7034,1
nyy9yqgwyn,1088,1
nmo8vlrb9e,404,0
3xxpg82vx3,2832,4
nyyogg749n,14394,0
ngvz9mw8bn,4127,0
edykv9dywe,4748,3
3wypoaq8xn,6065,0
36vv9dajoe,136,4
ekgyx9yx43,151,0
3l65vkqrz3,570,0
er468wwmjn,1196,1
3pllqjr9kn,446,2
394jgzqpge,532,168
394plqdzpe,2279,0
e2gwbyv973,598,0
nmop9vzove,750,0
3xax8vadle,2628,2
3px67z6lgn,7482,4
nqdjkryxwe,3590,0
nvp7jookbn,1388,0
edzvgmxmdn,4574,1
375wm79bje,2131,2
e2gq9gbkk3,17934,0
38z4axqmj3,6081,0
e5zobp8z4e,2959,0
3wyp4japmn,3595,0
3aq7jb75de,1473,0
63xp86vdke,1595,0
3jzbyd5k6e,6077,1
ng8lw89jb3,4654,8
3jxrbvgv6n,1080,0
nqdy6qx76e,8059,2
e2jjy2jxk3,21698,1
nvzlypabb3,2506,8
3xdzgv5lle,113,0
39zya22rbn,791,0
3pkwxob58e,5643,0
37b42z9oje,4088,0
ery7qo8bln,5792,0
3pq2vzdm8e,1162,25
ek7gqavo43,1345,0
3zl29b7dje,3063,19
3oym755z9e,1525,0
j3jy2jjgo3,9192,2
ek7vzgjy43,949,6
ekgd7vgkr3,146,0
37b7z62g9e,1243,2
ng8m4vq5r3,1118,8
m39rryaxy3,823,1
ny7yy54rln,4954,3
3axqj8vymn,3100,3
3ooxox7yz3,4781,2
eraplmb7ln,1362,14
ng9dkx7zze,1091,10
edxy9x72d3,1647,250
368oww2mjn,947,2
36vobovr8e,8038,2
ekovxbmogn,2992,3
e25oxjg7ke,800,0
3jz4rjgmxe,2667,0
39w8yjb6pn,4080,2
e52jokbm4e,4158,18
er6wma6ale,2160,7
nmm9rbal9n,9772,1
er7pm6wg7n,2604,0
3jx44yz2xn,2286,1
39l429rrd3,2241,1
3ozldy7pzn,733,2
37a4zg5ox3,1464,3
nydo8m6agn,3822,2
3wvox6lwxn,3209,1
3lpb2omlye,18116,2
nm2vo5o7v3,4180,4
346d97lkkn,908,0
rnq6wo7gz3,9086,2
396zwxq5g3,524,2
3jzv8jvvpe,2507,2
38m296wldn,3218,0
ngawd995an,8825,1
3w7a7v76xn,3469,2
3495kajl4n,10229,0
34pm5rr443,5209,1
3o47k6xdge,4072,1
38z4x7zbo3,1402,0
39rk498m73,4474,2
edoa2jlgw3,1578,3
nvqb89r6q3,3862,4
x36wdgxwon,5550,7
39xrvyw8d3,12108,10
3aq5zlwmde,2757,14
j3j6jp7xpn,1205,0
e5zl2jw69e,821,0
e55jkkrq4e,882,3
63x7q2m5ke,5579,0
nydxx5v99n,161,20
3z7aj87g8n,4524,0
83zq5j5663,9906,0
3lmvq8757e,4924,0
3l7oa8pbye,2853,3
nbmgm5da9e,7356,3
er6roprpje,779,0
nmodqd9d9e,4127,0
3xqmxm7p4n,2926,3
3py72kazb3,1898,1
83wp9x45yn,868,0
3wwz5oqgy3,1512,1
ng8wmvwrr3,299,18
3wqr9bbjx3,12672,2
ekzl72jbde,394,28
nbovagjvx3,10689,0
nglmm72ore,9573,2
346akrw64n,1159,1
3jz5lbdvxe,151,4
nvvbyop82n,5059,0
36p2ywrzke,565,70
nyq7lmvm93,5996,1
edz4rp99gn,2063,1
3la8rb5kde,6310,0
3xrgl7rpl3,3822,1
nmoqdk2bde,4314,1
nyqwla68l3,173,89
nmqz6ovoj3,3653,3
nyala6d2zn,2893,4
3a9kbm7xvn,2070,0
3678zgglxe,738,0
nyk8qkxgd3,4088,24
nvbko9x8x3,1433,4
3pg648qa83,4397,0
3azolgodde,2404,21
3wxjvvdobe,172,12
ngvk7op4vn,2662,5
3olzyjrjk3,2867,2
e2brjvvy6e,1188,340
3pk8k52y8e,4361,1
nydamp7g9n,29293,0
nbk4dr5bmn,7025,2
3948xkkwpe,1104,0
e5lgod5bbn,7954,0
3pmwxzyxg3,11478,0
3o2ddwkrgn,755,0
nvzww4y6x3,5816,2
e52r9bkkge,3543,0
3zzbldxqw3,6636,1
g38la5xqoe,4554,13
3l82dy2jon,4014,2
nyrlq75oye,5304,1
x36jyyav9e,9648,1
3oywgjmwge,5730,4
3x6v2xv2x3,1274,20
38wq788ko3,7524,1
3ozaolqygn,921,2
nvypzky6qn,2501,2
nyrakjodge,3259,0
379dy8kovn,3780,2
e2alv4g2k3,862,0
nvox8kzqxe,2658,3
3ax7dbk77n,2361,1
nmmv2ogrkn,12180,1
ekzxq66k2e,2131,10
